category,normalized_entity,term_frequency,category_document_frequency,idf,importance_score
impact,Bolivia,1,1,1.916290731874155,1.916290731874155
impact,Burkina Faso,1,1,1.916290731874155,1.916290731874155
impact,Mexico,1,1,1.916290731874155,1.916290731874155
impact,Niger,1,1,1.916290731874155,1.916290731874155
impact,"October 25, 2023",1,1,1.916290731874155,1.916290731874155
science,"September 21, 2023",1,1,1.916290731874155,1.916290731874155
science,Siberia,1,1,1.916290731874155,1.916290731874155
science,Swiss,1,1,1.916290731874155,1.916290731874155
science,Tabuk,1,1,1.916290731874155,1.916290731874155
science,The Aletsch Glacier,1,1,1.916290731874155,1.916290731874155
science,The Blue Carbon Initiative,1,1,1.916290731874155,1.916290731874155
science,The British Antarctic Survey,1,1,1.916290731874155,1.916290731874155
science,The Dead Sea's,1,1,1.916290731874155,1.916290731874155
science,The European Space Agency's,1,1,1.916290731874155,1.916290731874155
science,The Gulf of Aqaba's,1,1,1.916290731874155,1.916290731874155
science,The Intergovernmental Panel on Climate Change Special Report,1,1,1.916290731874155,1.916290731874155
impact,Scandinavia,1,1,1.916290731874155,1.916290731874155
impact,September 2022,1,1,1.916290731874155,1.916290731874155
impact,Sicily,1,1,1.916290731874155,1.916290731874155
impact,Sikkim,1,1,1.916290731874155,1.916290731874155
impact,Southeast Asian,1,1,1.916290731874155,1.916290731874155
impact,Storm Daniel,1,1,1.916290731874155,1.916290731874155
impact,Kiribati,1,1,1.916290731874155,1.916290731874155
impact,Kush Himalaya,1,1,1.916290731874155,1.916290731874155
impact,Lahaina,1,1,1.916290731874155,1.916290731874155
impact,Lebanon,1,1,1.916290731874155,1.916290731874155
impact,Levant,1,1,1.916290731874155,1.916290731874155
impact,Mali,1,1,1.916290731874155,1.916290731874155
impact,Teesta III,1,1,1.916290731874155,1.916290731874155
impact,The Coral Triangle Initiative,1,1,1.916290731874155,1.916290731874155
impact,The Dead Sea,1,1,1.916290731874155,1.916290731874155
impact,The Global Biodiversity Framework Monitor,1,1,1.916290731874155,1.916290731874155
impact,The Global Heat Health Information Network,1,1,1.916290731874155,1.916290731874155
impact,The IPCC Working Group II,1,1,1.916290731874155,1.916290731874155
impact,The International Labour Organization,1,1,1.916290731874155,1.916290731874155
impact,The Jordan River,1,1,1.916290731874155,1.916290731874155
impact,The Jordanian Department of Meteorology,1,1,1.916290731874155,1.916290731874155
impact,The Lancet Countdown on Health and Climate Change,1,1,1.916290731874155,1.916290731874155
impact,The Lancet Planetary Health,1,1,1.916290731874155,1.916290731874155
impact,The Mediterranean Sea,1,1,1.916290731874155,1.916290731874155
impact,The Ministry of Health,1,1,1.916290731874155,1.916290731874155
impact,The Sahara Desert,1,1,1.916290731874155,1.916290731874155
impact,Qatar,1,1,1.916290731874155,1.916290731874155
science,Nature Climate Change,1,1,1.916290731874155,1.916290731874155
science,Nature Communications,1,1,1.916290731874155,1.916290731874155
science,Nature Food,1,1,1.916290731874155,1.916290731874155
science,Nature Geoscience,1,1,1.916290731874155,1.916290731874155
science,the North Atlantic,1,1,1.916290731874155,1.916290731874155
science,Northern Europe,1,1,1.916290731874155,1.916290731874155
science,Phoenix,1,1,1.916290731874155,1.916290731874155
science,Qinghai,1,1,1.916290731874155,1.916290731874155
science,the National Snow and Ice Data Center,1,1,1.916290731874155,1.916290731874155
science,Saharan,1,1,1.916290731874155,1.916290731874155
science,the National Academy of Sciences,1,1,1.916290731874155,1.916290731874155
science,the Max Planck Institute for Meteorology,1,1,1.916290731874155,1.916290731874155
